stars,size,forks_count,open_issues,has_wiki,has_pages,has_issues,has_projects,num_topics,javascript,typescript,python,rust,other_language,desc_word_count,created_at,updated_at,pushed_at,has_homepage,mit_license,nan_license,apache_license,other_license,remain_license
51953,3532,17282,4,False,False,True,False,10,False,False,False,False,True,5,407960,467983,467956,0,1,0,0,0,0
51879,191827,36155,1438,True,True,True,True,3,False,False,False,False,True,2,358827,467982,467983,1,0,0,1,0,0
51501,67540,3530,136,True,False,True,True,19,False,True,False,False,False,8,435107,467983,467981,1,1,0,0,0,0
51488,5007,10492,1,True,False,True,True,0,False,False,False,False,True,20,441324,467982,467960,0,1,0,0,0,0
51453,498,6244,95,False,False,True,False,5,False,False,False,False,True,6,401585,467981,467771,0,0,1,0,0,0
51387,1884,6814,812,True,True,True,True,6,False,False,False,False,True,6,413539,467980,467909,0,1,0,0,0,0
51382,75750,5312,369,True,True,True,True,4,False,False,True,False,False,6,396401,467983,466771,0,1,0,0,0,0
51336,150487,2767,830,False,False,True,False,11,False,True,False,False,False,20,437177,467983,467975,1,0,0,1,0,0
51226,145884,9312,7,True,False,True,True,14,True,False,False,False,False,11,422887,467982,467879,1,0,0,0,1,0
51179,1505,5654,22,False,False,True,False,6,False,False,False,False,True,6,390299,467983,467958,1,0,0,0,0,1
51074,52748,8552,396,True,False,True,True,7,False,False,False,False,True,7,391072,467983,467983,1,0,0,1,0,0
50594,207074,15558,107,True,True,True,True,0,True,False,False,False,False,7,425020,467983,465502,1,0,0,0,0,1
50578,113055,5103,1070,True,False,True,True,10,True,False,False,False,False,13,379293,467983,464848,1,1,0,0,0,0
50530,174081,12672,11,True,False,True,True,0,False,False,True,False,False,168,426345,467983,467954,1,0,1,0,0,0
50467,1137124,3769,268,False,False,True,True,10,False,True,False,False,False,13,436347,467983,467982,1,0,0,1,0,0
50369,379,11019,75,False,True,True,False,3,False,False,False,False,True,6,362360,467978,467035,1,1,0,0,0,0
50338,21853,10036,54,False,False,True,False,0,False,True,False,False,False,4,388964,467982,467929,1,1,0,0,0,0
49552,12845,9089,283,True,False,True,False,8,False,False,True,False,False,6,360449,467981,467866,1,0,0,1,0,0
49109,211841,3470,463,True,False,True,True,15,False,False,False,False,True,5,439958,467983,467940,1,0,0,0,0,1
49031,1059608,13646,493,True,False,True,False,17,False,True,False,False,False,19,382509,467983,467980,1,1,0,0,0,0
48486,179658,9948,12,True,True,False,False,11,False,False,False,False,True,11,448536,467983,467693,1,1,0,0,0,0
48470,42414,4130,1048,False,False,True,True,6,False,True,False,False,False,7,438312,467983,467982,1,1,0,0,0,0
48318,103959,12933,723,True,False,True,True,4,False,False,True,False,False,12,413492,467982,467863,0,1,0,0,0,0
48253,164642,8157,892,True,False,True,True,7,False,False,False,False,True,8,376042,467983,467958,1,0,0,1,0,0
48080,1778238,9628,215,False,True,True,True,7,False,False,False,False,True,5,392440,467983,466538,1,0,0,1,0,0
47816,16821,12610,17,False,True,False,True,17,False,False,True,False,False,13,410213,467983,467962,1,1,0,0,0,0
47737,67978,6871,592,True,True,True,True,11,False,False,False,False,True,14,383496,467983,467974,1,0,0,0,0,1
47718,44407,3924,1197,True,True,True,True,8,False,False,True,False,False,8,445467,467983,467983,1,0,0,0,0,1
47635,88218,8472,857,True,False,True,False,14,False,False,False,False,True,11,390540,467982,467982,0,1,0,0,0,0
47515,420011,10547,740,True,True,True,True,2,False,False,False,False,True,5,389270,467983,467924,0,0,0,1,0,0
47373,3752,9225,384,True,True,False,True,0,False,False,True,False,False,7,373741,467983,467895,1,0,0,0,1,0
47370,20992,7146,273,False,False,True,True,0,True,False,False,False,False,8,360817,467980,467679,1,1,0,0,0,0
47328,17083,3633,80,False,False,True,False,16,False,False,False,False,True,10,394770,467983,467982,1,0,0,1,0,0
47259,1401,7996,46,False,True,True,True,4,False,False,False,False,True,10,393353,467983,467554,0,0,1,0,0,0
47250,24667,9993,736,True,False,True,True,8,False,False,True,False,False,11,351889,467982,467980,1,0,0,0,0,1
47248,91071,2838,1444,True,True,True,True,5,False,True,False,False,False,7,411800,467981,467979,1,1,0,0,0,0
47183,26851,3577,376,True,True,True,True,7,False,False,True,False,False,17,410397,467983,467983,1,0,0,0,1,0
47166,102311,3946,359,True,True,True,True,5,False,False,False,False,True,6,403774,467982,467882,1,1,0,0,0,0
47017,139584,7687,19,True,True,True,True,4,False,False,False,False,True,23,377131,467983,467983,0,0,0,1,0,0
46853,3290,6344,55,False,True,False,False,18,False,False,False,False,True,14,415041,467982,467554,0,0,1,0,0,0
46747,12770,2774,338,True,False,True,False,10,False,False,False,True,False,5,404380,467982,467974,1,0,0,1,0,0
46679,55898,10093,209,True,True,True,True,6,False,False,False,False,True,10,340132,467982,467888,1,1,0,0,0,0
46674,909811,22979,27,True,False,True,True,0,False,False,False,False,True,38,369336,467983,467890,1,1,0,0,0,0
46525,105,6731,68,False,False,True,False,0,True,False,False,False,False,5,402258,467983,466985,0,0,1,0,0,0
46425,2280,6986,416,True,True,True,False,12,False,False,False,False,True,18,390438,467983,467882,1,1,0,0,0,0
46394,871781,10301,24,True,False,True,True,3,False,False,False,False,True,8,394272,467983,467554,0,1,0,0,0,0
46303,227993,25071,144,False,False,False,False,3,False,False,False,False,True,34,338004,467981,467940,0,0,0,0,1,0
45625,108050,3889,1164,True,False,True,True,18,True,False,False,False,False,6,411232,467983,467980,1,1,0,0,0,0
45399,103226,3953,873,False,False,True,True,11,False,True,False,False,False,21,410409,467983,467983,1,1,0,0,0,0
45193,49045,3655,201,True,True,True,True,7,True,False,False,False,False,3,404972,467982,466729,1,1,0,0,0,0
45185,1497,5046,15,False,True,False,False,20,False,False,False,False,True,9,420650,467983,467958,0,1,0,0,0,0
44979,201849,12318,24,False,True,True,True,14,False,False,True,False,False,4,420464,467983,467835,1,0,0,0,0,1
44839,330,2139,97,True,False,True,True,0,False,False,True,False,False,24,399738,467974,466880,0,1,0,0,0,0
44787,245456,6958,294,False,True,True,True,6,False,True,False,False,False,7,416102,467983,467870,1,1,0,0,0,0
44749,96947,5589,1028,False,False,True,False,9,True,False,False,False,False,23,397105,467983,467917,1,1,0,0,0,0
44734,1964002,5533,148,False,False,False,False,7,False,False,False,False,True,4,369208,467982,467983,1,0,1,0,0,0
44248,19625,3638,220,True,False,True,True,12,False,False,False,False,True,6,385134,467983,467982,1,0,0,0,1,0
44087,1073,6252,67,True,False,True,True,3,False,False,False,False,True,5,416866,467977,464947,1,1,0,0,0,0
44067,964951,29081,889,False,False,True,True,7,False,True,False,False,False,8,374846,467983,467983,0,0,0,0,1,0
44001,48418,9108,86,False,True,True,False,4,False,False,False,False,True,10,373067,467982,467962,1,0,0,1,0,0
43992,20994814,3328,26,True,True,True,True,13,False,False,False,False,True,26,393819,467983,467957,1,0,0,0,1,0
43900,2579,975,3,True,False,True,True,0,False,False,False,False,True,8,465348,467983,467560,0,1,0,0,0,0
43655,316821,9097,31,False,False,False,False,8,False,False,True,False,False,1,417626,467983,467819,1,0,0,1,0,0
43579,1245,8276,353,True,False,True,True,18,False,False,False,False,True,1,405199,467983,467963,0,0,1,0,0,0
43486,120577,5248,242,True,False,True,True,12,True,False,False,False,False,5,368592,467983,467947,1,0,0,0,1,0
43470,75232,9246,191,False,False,True,True,10,False,False,False,False,True,13,381427,467983,467983,1,0,0,1,0,0
43412,758948,2836,2684,False,True,True,False,12,True,False,False,False,False,12,395951,467983,467978,1,1,0,0,0,0
