size,forks_count,stars
1283,5453,21271
497420,12019,21264
6143,4520,21258
1736,1287,21247
4872,610,21238
14862,1972,21236
78579,3980,21235
88589,2499,21231
1300193,3836,21220
118704,1657,21168
23157,5058,21157
21915,1444,21144
1225,2230,21134
10033,5485,21118
2557,2475,21070
141880,2804,21057
3496,2918,21042
692593,1266,21035
8024,1301,20999
7755,7594,20981
2471,898,20980
37476,2334,20979
510,2812,20956
23414,1325,20941
832,5844,20925
13238,10618,20921
253899,7891,20907
39501,2770,20871
27547,7176,20846
484,2496,20840
393,1754,20825
152788,8094,20822
893182,3765,20817
151086,7367,20816
63594,1331,20816
4603,747,20800
3630,2681,20798
41134,5159,20785
29987,2302,20770
756073,3602,20762
198245,3501,20762
35085,6851,20761
878,2447,20753
94458,1784,20749
326817,5952,20720
2285,504,20719
18498,5640,20717
807653,810,20702
5838,1616,20700
88,2100,20692
5587,8956,20691
794,2112,20683
1042336,3154,20679
7519,1424,20678
4624,856,20664
96001,1374,20662
4217,2062,20628
9258,3798,20624
1371856,3712,20604
142044,3991,20578
