,size,forks_count,open_issues,has_wiki,has_pages,has_projects,has_discussions,author_type,contributors,commits,comments,deployments,num_topics,javascript,typescript,other_language,desc_word_count,created_at,updated_at,pushed_at,has_homepage,mit_license,apache_license,other_license,remain_license,stars
111,42309,11859,258,0,0,1,1,0,428,4441,89,0,7,1,0,0,7,378762,467979,467921,1,1,0,0,0,60645
112,450128,23234,2780,0,0,1,0,0,404,62325,748,87,8,0,0,0,12,383161,467979,467979,1,0,1,0,0,60570
113,52003,5052,279,0,0,1,1,0,201,3563,49,1325,7,0,1,0,5,430907,467979,467962,1,1,0,0,0,60434
114,411,1408,63,1,1,1,0,0,46,263,16,1,0,1,0,0,6,360272,467979,465673,1,0,0,0,0,59963
115,131728,22549,2398,0,0,1,1,0,385,11730,629,0,0,0,0,1,31,343793,467979,467980,1,0,0,0,1,59939
116,24091,12574,112,1,0,1,0,1,28,445,9,0,20,0,0,1,9,413076,467979,467965,1,1,0,0,0,59826
117,28292,15403,47,0,1,0,1,0,426,3775,237,24,1,0,1,0,6,398034,467978,467963,1,1,0,0,0,59584
118,126287,15015,888,1,1,1,0,0,369,11868,174,3957,8,0,0,1,7,391402,467978,467964,1,0,0,1,0,59426
119,330585,18348,1000,0,0,0,1,0,329,38533,990,0,7,1,0,0,5,368628,467979,464645,1,1,0,0,0,59395
120,101744,28118,466,1,0,1,0,0,400,9073,1786,0,0,1,0,0,7,350755,467976,458266,1,1,0,0,0,59170
121,2535,14035,4,0,1,0,0,1,446,1863,3,0,0,0,0,0,11,390397,467978,467872,0,0,0,1,0,58900
122,16027,11420,322,1,1,1,0,1,11,807,9,5,0,1,0,0,18,371349,467974,464961,1,1,0,0,0,58845
123,35951,19349,393,1,0,1,0,0,422,8199,235,0,6,0,0,0,4,396523,467979,467980,1,0,1,0,0,58394
124,17183,10188,117,0,1,1,1,0,193,1976,234,0,4,0,1,0,5,352308,467978,467979,1,1,0,0,0,58263
125,17016,4857,514,1,0,1,1,1,430,2833,573,8025,20,0,0,0,13,428954,467979,467973,1,1,0,0,0,58144
126,3080,17712,62,1,0,1,0,1,37,307,3,0,0,0,0,1,1,423056,467979,463348,0,0,0,0,0,58024
127,221382,4622,857,1,1,1,1,0,392,7493,51,384,7,1,0,0,16,393018,467980,467978,1,1,0,0,0,57705
128,32351,20777,86,1,0,0,1,0,290,6614,3023,0,1,1,0,0,3,344097,467977,467969,1,1,0,0,0,57476
129,242968,23362,979,0,0,1,0,0,378,53728,849,0,3,0,0,0,48,369729,467978,467921,1,0,0,0,1,57427
130,7585,11791,327,0,0,1,0,0,3,29,401,0,0,0,0,1,6,466641,467980,467954,1,0,0,0,1,57396
131,5056,10888,8,0,1,0,1,0,219,951,46,34,6,0,0,1,19,369114,467980,467941,1,1,0,0,0,57135
132,5,4674,4336,1,0,1,0,1,1,4,80,0,0,0,0,1,13,421650,467972,467917,0,0,1,0,0,56808
133,289751,6900,69,1,0,1,0,0,378,13411,51,0,13,0,1,0,22,412838,467980,467977,1,1,0,0,0,56738
134,13485,16468,141,1,0,1,1,0,75,1718,75,0,3,0,0,1,5,377258,467979,467200,0,0,0,1,0,56537
135,33140,5007,540,0,0,1,1,0,449,5676,90,259,5,0,1,0,6,440951,467980,467979,1,1,0,0,0,56407
136,47581,6925,504,1,0,1,0,0,286,8005,848,0,4,1,0,0,10,370486,467980,467885,1,0,0,1,0,56380
137,858,7858,68,1,0,1,0,1,119,611,7,0,13,1,0,0,8,426679,467976,467295,0,1,0,0,0,56111
138,518,7931,16,1,0,1,0,1,85,327,13,0,19,0,0,1,8,410291,467979,467806,0,0,0,0,0,56010
139,2471,6718,3,0,0,0,0,1,436,1973,11,0,10,0,0,1,8,390912,467979,467741,0,0,0,0,0,55608
140,782387,10830,3598,0,0,1,1,0,376,42955,470,0,15,0,1,0,26,385210,467979,467980,1,0,0,0,1,55422
141,2102,16637,272,0,0,1,1,1,248,755,417,913,6,1,0,0,8,442853,467980,467958,1,1,0,0,0,55393
142,1096,7581,23,1,0,1,0,0,137,449,4,0,14,0,0,1,15,402412,467979,467845,1,0,0,0,0,55334
143,227307,19472,2289,1,0,1,0,0,205,9078,78,2,9,0,1,0,13,379149,467977,467811,1,0,1,0,0,55234
144,2964,6835,136,1,0,1,0,1,171,537,22,0,4,0,0,1,14,387922,467977,463376,0,0,0,1,0,54822
145,22577,12229,7,1,0,0,1,0,245,2459,984,0,7,1,0,0,14,351204,467980,467583,1,1,0,0,0,54582
146,1115068,10538,129,0,0,1,1,0,418,21403,242,0,7,1,0,0,12,397841,467978,467978,1,1,0,0,0,54468
147,3743,7749,10,1,0,1,0,1,187,1292,7,0,0,0,0,1,11,433418,467979,467022,0,1,0,0,0,54445
148,42830,6460,248,1,0,0,0,1,3,38,5,0,5,0,0,1,6,427745,467980,467738,0,0,0,0,0,54439
149,43676,8496,491,1,0,1,0,0,8,33,14,0,0,0,0,1,5,461145,467980,467860,1,0,0,1,0,54418
150,153756,24284,2193,1,0,1,1,0,413,29986,2569,0,5,0,0,0,5,356116,467978,467975,1,0,0,0,1,54307
151,989,9308,122,0,0,0,0,0,146,762,6,1,4,0,0,1,7,393456,467980,465492,1,1,0,0,0,54254
152,422221,6547,377,0,1,1,0,0,367,30184,83,858,19,1,0,0,15,401002,467979,467980,1,0,0,1,0,53837
153,402206,7715,360,0,1,0,1,1,312,2106,13,685,5,0,0,1,10,439709,467979,467770,1,0,0,0,1,53580
154,91788,14548,2527,1,1,1,1,0,411,4599,148,205,7,0,0,1,7,409128,467978,467828,1,1,0,0,0,53380
155,569637,26843,8175,0,0,1,0,0,346,117145,722,0,0,0,0,0,4,412981,467980,467979,1,0,0,1,0,53143
156,260324,21121,834,0,0,1,0,0,370,87732,14312,0,7,0,0,1,3,335516,467977,467978,1,1,0,0,0,52863
157,5048,2188,321,1,0,0,1,1,218,2368,146,0,10,0,0,1,5,384034,467978,467956,0,1,0,0,0,52311
158,125278,3765,329,1,0,1,0,0,281,7088,389,102,4,0,0,1,5,384844,467979,467974,1,0,0,0,1,52084
159,451361,10620,1354,1,1,1,1,0,426,13453,157,83,18,0,1,0,10,399301,467979,467979,1,0,1,0,0,52053
160,3532,17282,4,0,0,0,0,0,432,1859,50,0,10,0,0,1,5,407956,467979,467952,0,1,0,0,0,51953
161,191827,36155,1438,1,1,1,0,0,391,26693,676,7,3,0,0,1,2,358822,467978,467979,1,0,1,0,0,51879
162,67540,3530,136,1,0,1,1,0,183,4794,74,0,19,0,1,0,8,435103,467979,467977,1,1,0,0,0,51501
163,5007,10492,1,1,0,1,0,1,385,2061,8,0,0,0,0,1,20,441321,467978,467957,0,1,0,0,0,51488
164,498,6244,95,0,0,0,0,1,254,462,13,0,5,0,0,1,6,401582,467978,467767,0,0,0,0,0,51453
165,1884,6814,812,1,1,1,0,1,264,1146,18,581,6,0,0,1,6,413534,467976,467905,0,1,0,0,0,51387
166,75750,5312,369,1,1,1,1,1,142,5774,46,89,4,0,0,0,6,396397,467979,466768,0,1,0,0,0,51382
167,150487,2767,830,0,0,0,1,0,402,10634,38,11,11,0,1,0,20,437173,467980,467971,1,0,1,0,0,51336
168,145884,9312,7,1,0,1,1,1,76,1748,12,639,14,1,0,0,11,422883,467979,467876,1,0,0,1,0,51226
169,1505,5654,22,0,0,0,1,1,333,845,8,0,6,0,0,1,6,390296,467979,467954,1,0,0,0,1,51179
170,52748,8552,396,1,0,1,0,0,166,6228,724,0,7,0,0,1,7,391068,467979,467980,1,0,1,0,0,51074
171,207074,15558,107,1,1,1,0,1,100,1275,11,309,0,1,0,0,7,425017,467979,465497,1,0,0,0,1,50594
172,113055,5103,1070,1,0,1,1,0,184,6747,80,0,10,1,0,0,13,379290,467980,464843,1,1,0,0,0,50578
173,174081,12672,11,1,0,1,0,1,10,154,16,0,0,0,0,0,168,426341,467980,467951,1,0,0,0,0,50530
174,1137124,3769,268,0,0,1,1,0,401,19953,8540,57919,10,0,1,0,13,436344,467979,467979,1,0,1,0,0,50467
175,379,11019,75,0,1,0,0,1,36,360,92,8,3,0,0,1,6,362356,467975,467032,1,1,0,0,0,50369
176,21853,10036,54,0,0,0,1,0,429,6089,775,0,0,0,1,0,4,388960,467978,467926,1,1,0,0,0,50338
177,12845,9089,283,1,0,0,0,0,407,6156,364,237,8,0,0,0,6,360445,467977,467862,1,0,1,0,0,49552
178,211841,3470,463,1,0,1,1,1,91,1007,37,0,15,0,0,1,5,439953,467980,467937,1,0,0,0,1,49109
179,1059608,13646,493,1,0,0,1,0,401,12874,645,0,17,0,1,0,19,382505,467980,467976,1,1,0,0,0,49031
180,179658,9948,12,1,1,0,1,0,120,1533,11,209,11,0,0,1,11,448532,467979,467690,1,1,0,0,0,48486
181,42414,4130,1048,0,0,1,1,0,234,3084,3098,27834,6,0,1,0,7,438307,467980,467979,1,1,0,0,0,48470
182,103959,12933,723,1,0,1,0,1,49,238,9,0,4,0,0,0,12,413488,467979,467859,0,1,0,0,0,48318
183,164642,8157,892,1,0,1,1,0,362,11211,236,0,7,0,0,1,8,376037,467980,467955,1,0,1,0,0,48253
184,1778238,9628,215,0,1,1,0,0,26,209,40,13,7,0,0,1,5,392436,467980,466534,1,0,1,0,0,48080
185,16821,12610,17,0,1,1,0,1,233,1749,5,45,17,0,0,0,13,410209,467980,467959,1,1,0,0,0,47816
186,67978,6871,592,1,1,1,1,0,416,12839,500,10,11,0,0,1,14,383493,467980,467970,1,0,0,0,1,47737
187,44407,3924,1197,1,1,1,1,0,386,21691,314,2,8,0,0,0,8,445462,467980,467980,1,0,0,0,1,47718
188,88218,8472,857,1,0,0,1,1,329,7352,237,0,14,0,0,1,11,390536,467979,467978,0,1,0,0,0,47635
189,420011,10547,740,1,1,1,0,0,293,6065,292,1564,2,0,0,1,5,389266,467979,467921,0,0,1,0,0,47515
190,3752,9225,384,1,1,1,0,1,214,2512,168,68,0,0,0,0,7,373738,467979,467892,1,0,0,1,0,47373
191,20992,7146,273,0,0,1,0,0,405,3980,117,0,0,1,0,0,8,360813,467977,467675,1,1,0,0,0,47370
192,17083,3633,80,0,0,0,0,0,194,1678,224,0,16,0,0,1,10,394766,467979,467978,1,0,1,0,0,47328
193,1401,7996,46,0,1,1,0,1,127,554,5,62,4,0,0,1,10,393349,467979,467551,0,0,0,0,0,47259
194,24667,9993,736,1,0,1,0,0,377,9803,98,0,8,0,0,0,11,351884,467978,467977,1,0,0,0,1,47250
195,91071,2838,1444,1,1,1,1,1,103,5693,25,477,5,0,1,0,7,411795,467978,467975,1,1,0,0,0,47248
196,26851,3577,376,1,1,1,0,0,433,4432,31,11001,7,0,0,0,17,410394,467980,467980,1,0,0,1,0,47183
197,102311,3946,359,1,1,1,0,1,363,1733,32,1117,5,0,0,1,6,403770,467978,467879,1,1,0,0,0,47166
198,139584,7687,19,1,1,1,0,0,285,6032,102,594,4,0,0,1,23,377126,467979,467980,0,0,1,0,0,47017
199,3290,6344,55,0,1,0,0,1,296,1812,8,1045,18,0,0,1,14,415038,467979,467551,0,0,0,0,0,46853
200,12770,2774,338,1,0,0,0,0,370,2115,96,0,10,0,0,0,5,404375,467978,467970,1,0,1,0,0,46747
201,55898,10093,209,1,1,1,1,0,393,11639,568,1710,6,0,0,1,10,340128,467978,467885,1,1,0,0,0,46679
202,909811,22979,27,1,0,1,0,1,232,1614,41,0,0,0,0,1,38,369332,467980,467886,1,1,0,0,0,46674
203,105,6731,68,0,0,0,0,1,47,150,20,0,0,1,0,0,5,402253,467980,466981,0,0,0,0,0,46525
204,2280,6986,416,1,1,0,1,1,346,1669,9,0,12,0,0,1,18,390435,467979,467878,1,1,0,0,0,46425
205,871781,10301,24,1,0,1,0,1,69,459,18,0,3,0,0,1,8,394268,467979,467551,0,1,0,0,0,46394
206,227993,25071,144,0,0,0,0,0,411,70252,1058,0,3,0,0,1,34,338000,467977,467937,0,0,0,1,0,46303
207,108050,3889,1164,1,0,1,1,0,436,8454,116,1172,18,1,0,0,6,411227,467980,467977,1,1,0,0,0,45625
208,103226,3953,873,0,0,1,1,0,451,4211,343,217,11,0,1,0,21,410405,467980,467980,1,1,0,0,0,45399
209,49045,3655,201,1,1,1,0,1,43,736,6,122,7,1,0,0,3,404968,467979,466725,1,1,0,0,0,45193
210,1497,5046,15,0,1,0,0,1,21,1160,1,303,20,0,0,1,9,420646,467980,467954,0,1,0,0,0,45185
211,201849,12318,24,0,1,1,0,1,81,1723,55,647,14,0,0,0,4,420460,467979,467832,1,0,0,0,1,44979
212,330,2139,97,1,0,1,0,1,69,273,11,0,0,0,0,0,24,399735,467970,466877,0,1,0,0,0,44839
213,245456,6958,294,0,1,1,1,0,464,5581,115,783,6,0,1,0,7,416098,467979,467867,1,1,0,0,0,44787
214,96947,5589,1028,0,0,0,1,0,359,15674,103,0,9,1,0,0,23,397102,467979,467913,1,1,0,0,0,44749
215,1964002,5533,148,0,0,0,0,0,280,101413,8731,0,7,0,0,1,4,369203,467978,467980,1,0,0,0,0,44734
216,19625,3638,220,1,0,1,1,0,411,11906,79,0,12,0,0,1,6,385130,467979,467979,1,0,0,1,0,44248
217,1073,6252,67,1,0,1,0,1,95,327,2,0,3,0,0,1,5,416862,467974,464942,1,1,0,0,0,44087
218,964951,29081,889,0,0,1,1,0,399,84000,1418,0,7,0,1,0,8,374843,467979,467979,0,0,0,1,0,44067
219,48418,9108,86,0,1,0,0,0,248,5383,172,138,4,0,0,1,10,373064,467978,467958,1,0,1,0,0,44001
220,20994814,3328,26,1,1,1,1,1,151,2049,28,243,13,0,0,1,26,393815,467979,467954,1,0,0,1,0,43992
221,2579,975,3,1,0,1,0,0,13,36,4,0,0,0,0,1,8,465344,467980,467556,0,1,0,0,0,43900
222,316821,9097,31,0,0,0,0,0,245,4096,26,0,8,0,0,0,1,417623,467980,467815,1,0,1,0,0,43655
