size,stars,forks_count,open_issues,has_wiki,has_pages,has_issues,has_projects,has_discussions,author_type,contributors,commits,comments,deployments,num_topics,javascript,typescript,python,rust,other_language,desc_word_count,created_at,updated_at,pushed_at,has_homepage,mit_license,nan_license,apache_license,other_license,remain_license
197968,65947,18685,4217,True,False,True,True,True,Organization,406,46164,742,0,3,False,False,False,False,True,14,377364,467980,467929,1,0,0,1,0,0
2870,65173,6250,5,False,True,True,False,True,User,107,697,9,263,12,False,False,False,False,True,11,418924,467978,464396,1,0,0,0,0,1
165,65168,8525,24,False,False,False,False,False,Organization,21,115,29,0,9,False,False,False,False,True,12,405370,467979,467550,0,0,0,0,0,1
112732,64806,391,619,False,True,True,False,False,Organization,230,26099,248,1929,5,True,False,False,False,False,11,428392,467979,467977,0,0,0,0,0,1
614,64781,8403,357,True,False,True,True,False,User,62,536,0,0,4,False,False,False,False,True,14,430861,467979,467573,0,1,0,0,0,0
1078266,63847,23114,4104,False,False,True,True,False,Organization,345,68858,1189,0,3,False,False,False,False,True,7,351559,467979,467980,1,0,0,0,1,0
21213,63794,16525,738,True,True,True,True,True,User,295,2967,113,15,3,True,False,False,False,False,4,363181,467977,467814,1,1,0,0,0,0
74938,63697,1726,514,False,False,True,True,True,Organization,253,3404,83,4,17,False,False,False,True,False,12,434163,467980,467963,1,0,0,1,0,0
132741,63153,5525,318,False,False,True,True,True,Organization,400,15487,168,0,20,False,False,False,False,True,6,380965,467978,467964,0,0,0,0,0,1
59774,63073,8742,299,False,False,True,True,True,Organization,403,16015,249,0,16,True,False,False,False,False,44,369820,467977,467973,1,1,0,0,0,0
10210,63006,15664,1,False,False,True,False,True,Organization,406,5066,166,10,7,False,False,True,False,False,8,352925,467979,467887,1,0,0,0,0,1
990559,62790,10084,6496,False,False,True,False,False,Organization,356,151068,4309,0,0,False,False,False,False,True,4,401559,467979,467979,1,0,0,1,0,0
46896,61881,8947,122,True,False,True,True,False,User,1,564,0,0,0,False,False,False,False,True,4,435453,467979,467972,0,0,0,0,1,0
1282783,61441,11462,9636,False,False,True,True,False,Organization,463,54358,1447,0,8,False,False,False,False,True,9,385786,467980,467979,1,1,0,0,0,0
9096,60909,10466,169,True,False,True,False,True,Organization,275,5775,517,0,4,True,False,False,False,False,7,346117,467977,467888,1,1,0,0,0,0
10485,60701,5850,136,True,True,True,True,False,User,451,1907,16,657,10,True,False,False,False,False,18,407986,467979,467955,1,0,0,0,0,1
42309,60645,11859,258,False,False,True,True,True,Organization,428,4441,89,0,7,True,False,False,False,False,7,378762,467979,467921,1,1,0,0,0,0
450128,60570,23234,2780,False,False,True,True,False,Organization,404,62325,748,87,8,False,False,True,False,False,12,383161,467979,467979,1,0,0,1,0,0
52003,60434,5052,279,False,False,True,True,True,Organization,201,3563,49,1325,7,False,True,False,False,False,5,430907,467979,467962,1,1,0,0,0,0
411,59963,1408,63,True,True,True,True,False,Organization,46,263,16,1,0,True,False,False,False,False,6,360272,467979,465673,1,0,1,0,0,0
131728,59939,22549,2398,False,False,True,True,True,Organization,385,11730,629,0,0,False,False,False,False,True,31,343793,467979,467980,1,0,0,0,0,1
24091,59826,12574,112,True,False,True,True,False,User,28,445,9,0,20,False,False,False,False,True,9,413076,467979,467965,1,1,0,0,0,0
28292,59584,15403,47,False,True,True,False,True,Organization,426,3775,237,24,1,False,True,False,False,False,6,398034,467978,467963,1,1,0,0,0,0
126287,59426,15015,888,True,True,True,True,False,Organization,369,11868,174,3957,8,False,False,False,False,True,7,391402,467978,467964,1,0,0,0,1,0
330585,59395,18348,1000,False,False,True,False,True,Organization,329,38533,990,0,7,True,False,False,False,False,5,368628,467979,464645,1,1,0,0,0,0
101744,59170,28118,466,True,False,True,True,False,Organization,400,9073,1786,0,0,True,False,False,False,False,7,350755,467976,458266,1,1,0,0,0,0
2535,58900,14035,4,False,True,True,False,False,User,446,1863,3,0,0,False,False,True,False,False,11,390397,467978,467872,0,0,0,0,1,0
16027,58845,11420,322,True,True,True,True,False,User,11,807,9,5,0,True,False,False,False,False,18,371349,467974,464961,1,1,0,0,0,0
35951,58394,19349,393,True,False,True,True,False,Organization,422,8199,235,0,6,False,False,True,False,False,4,396523,467979,467980,1,0,0,1,0,0
17183,58263,10188,117,False,True,True,True,True,Organization,193,1976,234,0,4,False,True,False,False,False,5,352308,467978,467979,1,1,0,0,0,0
17016,58144,4857,514,True,False,True,True,True,User,430,2833,573,8025,20,False,False,True,False,False,13,428954,467979,467973,1,1,0,0,0,0
3080,58024,17712,62,True,False,True,True,False,User,37,307,3,0,0,False,False,False,False,True,1,423056,467979,463348,0,0,1,0,0,0
221382,57705,4622,857,True,True,True,True,True,Organization,392,7493,51,384,7,True,False,False,False,False,16,393018,467980,467978,1,1,0,0,0,0
32351,57476,20777,86,True,False,True,False,True,Organization,290,6614,3023,0,1,True,False,False,False,False,3,344097,467977,467969,1,1,0,0,0,0
242968,57427,23362,979,False,False,True,True,False,Organization,378,53728,849,0,3,False,False,True,False,False,48,369729,467978,467921,1,0,0,0,0,1
7585,57396,11791,327,False,False,True,True,False,Organization,3,29,401,0,0,False,False,False,False,True,6,466641,467980,467954,1,0,0,0,0,1
5056,57135,10888,8,False,True,True,False,True,Organization,219,951,46,34,6,False,False,False,False,True,19,369114,467980,467941,1,1,0,0,0,0
5,56808,4674,4336,True,False,True,True,False,User,1,4,80,0,0,False,False,False,False,True,13,421650,467972,467917,0,0,0,1,0,0
289751,56738,6900,69,True,False,True,True,False,Organization,378,13411,51,0,13,False,True,False,False,False,22,412838,467980,467977,1,1,0,0,0,0
13485,56537,16468,141,True,False,True,True,True,Organization,75,1718,75,0,3,False,False,False,False,True,5,377258,467979,467200,0,0,0,0,1,0
33140,56407,5007,540,False,False,True,True,True,Organization,449,5676,90,259,5,False,True,False,False,False,6,440951,467980,467979,1,1,0,0,0,0
47581,56380,6925,504,True,False,True,True,False,Organization,286,8005,848,0,4,True,False,False,False,False,10,370486,467980,467885,1,0,0,0,1,0
858,56111,7858,68,True,False,True,True,False,User,119,611,7,0,13,True,False,False,False,False,8,426679,467976,467295,0,1,0,0,0,0
518,56010,7931,16,True,False,True,True,False,User,85,327,13,0,19,False,False,False,False,True,8,410291,467979,467806,0,0,1,0,0,0
2471,55608,6718,3,False,False,True,False,False,User,436,1973,11,0,10,False,False,False,False,True,8,390912,467979,467741,0,0,1,0,0,0
782387,55422,10830,3598,False,False,True,True,True,Organization,376,42955,470,0,15,False,True,False,False,False,26,385210,467979,467980,1,0,0,0,0,1
2102,55393,16637,272,False,False,True,True,True,User,248,755,417,913,6,True,False,False,False,False,8,442853,467980,467958,1,1,0,0,0,0
1096,55334,7581,23,True,False,True,True,False,Organization,137,449,4,0,14,False,False,False,False,True,15,402412,467979,467845,1,0,1,0,0,0
227307,55234,19472,2289,True,False,True,True,False,Organization,205,9078,78,2,9,False,True,False,False,False,13,379149,467977,467811,1,0,0,1,0,0
2964,54822,6835,136,True,False,True,True,False,User,171,537,22,0,4,False,False,False,False,True,14,387922,467977,463376,0,0,0,0,1,0
22577,54582,12229,7,True,False,True,False,True,Organization,245,2459,984,0,7,True,False,False,False,False,14,351204,467980,467583,1,1,0,0,0,0
1115068,54468,10538,129,False,False,True,True,True,Organization,418,21403,242,0,7,True,False,False,False,False,12,397841,467978,467978,1,1,0,0,0,0
3743,54445,7749,10,True,False,True,True,False,User,187,1292,7,0,0,False,False,False,False,True,11,433418,467979,467022,0,1,0,0,0,0
42830,54439,6460,248,True,False,True,False,False,User,3,38,5,0,5,False,False,False,False,True,6,427745,467980,467738,0,0,1,0,0,0
43676,54418,8496,491,True,False,True,True,False,Organization,8,33,14,0,0,False,False,False,False,True,5,461145,467980,467860,1,0,0,0,1,0
153756,54307,24284,2193,True,False,True,True,True,Organization,413,29986,2569,0,5,False,False,True,False,False,5,356116,467978,467975,1,0,0,0,0,1
989,54254,9308,122,False,False,True,False,False,Organization,146,762,6,1,4,False,False,False,False,True,7,393456,467980,465492,1,1,0,0,0,0
422221,53837,6547,377,False,True,True,True,False,Organization,367,30184,83,858,19,True,False,False,False,False,15,401002,467979,467980,1,0,0,0,1,0
402206,53580,7715,360,False,True,True,False,True,User,312,2106,13,685,5,False,False,False,False,True,10,439709,467979,467770,1,0,0,0,0,1
91788,53380,14548,2527,True,True,True,True,True,Organization,411,4599,148,205,7,False,False,False,False,True,7,409128,467978,467828,1,1,0,0,0,0
569637,53143,26843,8175,False,False,True,True,False,Organization,346,117145,722,0,0,False,False,True,False,False,4,412981,467980,467979,1,0,0,0,1,0
260324,52863,21121,834,False,False,True,True,False,Organization,370,87732,14312,0,7,False,False,False,False,True,3,335516,467977,467978,1,1,0,0,0,0
5048,52311,2188,321,True,False,True,False,True,User,218,2368,146,0,10,False,False,False,False,True,5,384034,467978,467956,0,1,0,0,0,0
125278,52084,3765,329,True,False,True,True,False,Organization,281,7088,389,102,4,False,False,False,False,True,5,384844,467979,467974,1,0,0,0,0,1
451361,52053,10620,1354,True,True,True,True,True,Organization,426,13453,157,83,18,False,True,False,False,False,10,399301,467979,467979,1,0,0,1,0,0
3532,51953,17282,4,False,False,True,False,False,Organization,432,1859,50,0,10,False,False,False,False,True,5,407956,467979,467952,0,1,0,0,0,0
191827,51879,36155,1438,True,True,True,True,False,Organization,391,26693,676,7,3,False,False,False,False,True,2,358822,467978,467979,1,0,0,1,0,0
67540,51501,3530,136,True,False,True,True,True,Organization,183,4794,74,0,19,False,True,False,False,False,8,435103,467979,467977,1,1,0,0,0,0
5007,51488,10492,1,True,False,True,True,False,User,385,2061,8,0,0,False,False,False,False,True,20,441321,467978,467957,0,1,0,0,0,0
498,51453,6244,95,False,False,True,False,False,User,254,462,13,0,5,False,False,False,False,True,6,401582,467978,467767,0,0,1,0,0,0
1884,51387,6814,812,True,True,True,True,False,User,264,1146,18,581,6,False,False,False,False,True,6,413534,467976,467905,0,1,0,0,0,0
75750,51382,5312,369,True,True,True,True,True,User,142,5774,46,89,4,False,False,True,False,False,6,396397,467979,466768,0,1,0,0,0,0
150487,51336,2767,830,False,False,True,False,True,Organization,402,10634,38,11,11,False,True,False,False,False,20,437173,467980,467971,1,0,0,1,0,0
145884,51226,9312,7,True,False,True,True,True,User,76,1748,12,639,14,True,False,False,False,False,11,422883,467979,467876,1,0,0,0,1,0
1505,51179,5654,22,False,False,True,False,True,User,333,845,8,0,6,False,False,False,False,True,6,390296,467979,467954,1,0,0,0,0,1
52748,51074,8552,396,True,False,True,True,False,Organization,166,6228,724,0,7,False,False,False,False,True,7,391068,467979,467980,1,0,0,1,0,0
207074,50594,15558,107,True,True,True,True,False,User,100,1275,11,309,0,True,False,False,False,False,7,425017,467979,465497,1,0,0,0,0,1
113055,50578,5103,1070,True,False,True,True,True,Organization,184,6747,80,0,10,True,False,False,False,False,13,379290,467980,464843,1,1,0,0,0,0
174081,50530,12672,11,True,False,True,True,False,User,10,154,16,0,0,False,False,True,False,False,168,426341,467980,467951,1,0,1,0,0,0
