branches,commits,createdAt,diskUsage,followers,following,forkCount,gistComments,gistStar,gists,hasWikiEnabled,iClosedComments,iClosedParticipants,iOpenComments,iOpenParticipants,issuesClosed,issuesOpen,members,organizations,prClosed,prClosedComments,prClosedCommits,prMerged,prMergedComments,prMergedCommits,prOpen,prOpenComments,prOpenCommits,pushedAt,readmeCharCount,readmeLinkCount,readmeSize,readmeWordCount,releases,repositories,stars,subscribersCount,tags,type,updatedAt,websiteUrl,desWordCount,desCharCount,mit_license,nan_license,apache_license,other_license,remain_license,JavaScript,Python,Java,Objective-C,Ruby,PHP,other_language
48,1,75.0,393987,54,27.0,1.0,121,0.0,0.0,0.0,1,72,43,0,3,16,3,0.0,0.0,9,21,26,18,34,37,4,0,5,419806,3868,25,3920,585,1,20,568,25,1,1,421901,1,15,120,0,1,0,0,0,0,0,0,0,0,0,1
49,6,401.0,393985,15199,47.0,24.0,184,0.0,0.0,1.0,1,291,249,63,58,97,19,0.0,1.0,17,84,36,86,184,182,2,0,6,421018,6262,11,6262,854,7,58,863,23,24,1,421906,0,17,108,1,0,0,0,0,1,0,0,0,0,0,0
50,1,151.0,393993,6590,1244.0,15.0,642,11.0,27.0,89.0,1,109,88,90,103,49,53,0.0,1.0,8,15,21,32,43,91,4,1,8,421240,6273,7,6273,854,9,17,3673,137,13,1,421840,1,5,36,0,0,1,0,0,0,0,1,0,0,0,0
51,1,66.0,393967,361,1917.0,5.0,57,0.0,0.0,2.0,1,1,2,1,2,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,399577,1050,9,1272,147,0,82,107,26,0,1,421691,1,13,142,0,1,0,0,0,0,0,0,0,0,0,1
52,19,349.0,393976,22674,27.0,8.0,23,0.0,0.0,0.0,1,219,130,49,39,58,20,0.0,0.0,1,0,5,6,2,13,0,0,0,417825,12566,6,12566,1923,4,46,110,23,4,1,421641,1,13,152,1,0,0,0,0,0,0,0,0,0,0,1
53,1,86.0,393982,22761,45.0,107.0,34,1.0,0.0,5.0,1,96,44,42,33,18,18,0.0,2.0,0,0,0,3,2,3,0,0,0,421367,0,0,0,0,1,64,113,18,2,1,421465,1,10,66,1,0,0,0,0,1,0,0,0,0,0,0
54,1,11.0,393982,3707,142.0,7.0,3,61.0,117.0,18.0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,1,1,0,3,421003,7234,5,7245,1246,0,10,118,7,0,1,421671,1,11,59,0,1,0,0,0,0,0,0,1,0,0,0
55,1,2.0,393979,558,175.0,10.0,54,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,393982,724,1,724,130,0,45,121,13,0,1,421822,0,15,146,0,1,0,0,0,0,1,0,0,0,0,0
56,1,64.0,393983,51,20.0,1.0,12,0.0,0.0,0.0,1,14,8,1,2,4,1,0.0,0.0,2,4,6,9,8,15,2,0,2,420762,1585,1,1585,247,0,42,121,6,0,1,421837,0,8,60,0,0,1,0,0,0,0,0,0,0,0,1
57,1,2.0,393964,147964,15.0,17.0,71,0.0,0.0,4.0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,4,418656,102,0,102,19,0,9,123,24,0,1,421887,0,5,34,0,1,0,0,0,0,0,0,0,0,0,1
